55  "Cl" "Cd" "Cm"
-180.00  0.000 0.1807  0.0000
-170.00  0.473 0.2168  0.4000
-160.00  0.946 0.3207 -0.0710
-150.00  0.782 0.4790  0.0512
-140.00  0.682 0.6714  0.1162
-130.00  0.585 0.8731  0.1711
-120.00  0.466 1.0578  0.2235
-110.00  0.323 1.2009  0.2721
-100.00  0.162 1.2825  0.3128
 -90.00  0.000 1.2900  0.3406
 -80.00 -0.162 1.2825  0.3690
 -70.00 -0.323 1.2009  0.3834
 -60.00 -0.466 1.0578  0.3873
 -50.00 -0.585 0.8731  0.3876
 -40.00 -0.682 0.6714  0.3971
 -30.00 -0.782 0.4790  0.4431
 -20.00 -0.945 0.3206  0.6058
 -10.00 -0.434 0.1823  0.4542
   0.00  0.077 0.0440  0.0181
   0.57  0.151 0.0361  0.0363
   1.60  0.286 0.0316  0.0526
   2.64  0.431 0.0296  0.0667
   3.67  0.568 0.0288  0.0777
   4.71  0.705 0.0277  0.0878
   5.74  0.826 0.0287  0.0954
   6.78  0.948 0.0296  0.1009
   7.81  1.064 0.0331  0.1061
   8.84  1.161 0.0386  0.1087
   9.88  1.217 0.0536  0.1133
  10.91  1.158 0.1000  0.1305
  11.95  1.141 0.1325  0.1391
  12.98  1.145 0.1594  0.1442
  14.02  1.178 0.1789  0.1452
  15.05  1.216 0.1983  0.1454
  16.09  1.257 0.2182  0.1442
  17.12  1.279 0.2420  0.1399
  18.15  1.293 0.2683  0.1342
  19.19  1.328 0.2954  0.1348
  20.22  1.366 0.3237  0.1367
  30.00  1.117 0.4790 -0.0256
  40.00  0.975 0.6714 -0.1031
  50.00  0.836 0.8731 -0.1585
  60.00  0.666 1.0578 -0.2052
  70.00  0.461 1.2009 -0.2457
  80.00  0.232 1.2825 -0.2794
  90.00  0.000 1.2900 -0.3044
 100.00 -0.162 1.2825 -0.3328
 110.00 -0.323 1.2009 -0.3473
 120.00 -0.466 1.0578 -0.3511
 130.00 -0.585 0.8731 -0.3514
 140.00 -0.682 0.6714 -0.3609
 150.00 -0.782 0.4790 -0.4070
 160.00 -0.946 0.3207 -0.5701
 170.00 -0.473 0.2168 -0.5000
 180.00  0.000 0.1807  0.0000
